1104,111161,2
175,111161,3
1104,111161,3
209,111161,1
151,111161,1
348409,111161,1
338,68646,2
701374,68646,3
338,68646,3
8,68646,1
199,68646,1
1001,68646,1
634240,468569,2
634300,468569,3
634240,468569,3
275286,468569,3
288,468569,1
5132,468569,1
1173,468569,1
338,71562,2
338,71562,3
701374,71562,3
199,71562,1
134,71562,1
380,71562,1
1486,50083,2
741627,50083,3
20,50083,1
2011,50083,1
842,50083,1
229,108052,2
447745,108052,3
1873,108052,3
553,108052,1
146,108052,1
1426,108052,1
1392,167260,2
866058,167260,3
909638,167260,3
101991,167260,3
704,167260,1
1557,167260,1
5212,167260,1
233,110912,2
233,110912,3
812,110912,3
237,110912,1
235,110912,1
168,110912,1
1392,120737,2
866058,120737,3
909638,120737,3
101991,120737,3
704,120737,1
5212,120737,1
89217,120737,1
1466,60196,2
898812,60196,3
1466,60196,3
408488,60196,3
142,60196,1
908919,60196,1
1812,60196,1
709,109830,2
343165,109830,3
744839,109830,3
158,109830,1
705,109830,1
641,109830,1
399,137523,2
657333,137523,3
880243,137523,3
93,137523,1
1570,137523,1
1533,137523,1
634240,1375666,2
634240,1375666,3
138,1375666,1
330687,1375666,1
680983,1375666,1
1392,167261,2
866058,167261,3
909638,167261,3
101991,167261,3
704,167261,1
5212,167261,1
1557,167261,1
449984,80684,2
102824,80684,3
1410,80684,3
184,80684,3
434,80684,1
148,80684,1
402,80684,1
905154,133093,2
905152,133093,2
905152,133093,3
905154,133093,3
206,133093,1
401,133093,1
5251,133093,1
217,99685,2
683380,99685,3
217,99685,3
134,99685,1
501,99685,1
582,99685,1
1232,73486,2
369142,73486,3
325743,73486,3
450181,73486,3
197,73486,1
1221,73486,1
77720,73486,1
399,114369,2
1825,114369,3
151,114369,1
93,114369,1
228,114369,1
41,47478,2
41,47478,3
368074,47478,3
644823,47478,3
1536,47478,1
793766,47478,1
875477,47478,1
1008,38650,2
329304,38650,3
352443,38650,3
1008,38650,3
71,38650,1
1656,38650,1
859,38650,1
1129,102926,2
365383,102926,3
848217,102926,3
149,102926,1
164,102926,1
95029,102926,1
576987,317248,2
526199,317248,2
513130,317248,3
1130251,317248,3
1179105,317248,1
1129884,317248,1
618690,317248,1
229,120815,2
734441,120815,3
158,120815,1
354,120815,1
1744,120815,1
905,118799,2
148437,118799,3
905,118799,3
905,118799,1
971,118799,1
134493,118799,1
1104,120689,2
175,120689,3
1104,120689,3
158,120689,1
3817,120689,1
1556,120689,1
634240,816692,2
634300,816692,3
634240,816692,3
190,816692,1
4266,816692,1
1567113,816692,1
184,76759,2
184,76759,3
434,76759,1
148,76759,1
402,76759,1
116,103064,2
116,103064,3
936537,103064,3
216,103064,1
157,103064,1
411,103064,1
709,88763,2
709,88763,3
301826,88763,3
150,88763,1
502,88763,1
670,88763,1
594503,245429,2
594503,245429,3
153738,245429,1
687189,245429,1
997115,245429,1
33,54215,2
825010,54215,3
88645,54215,3
578,54215,1
1463,54215,1
587256,54215,1
591,253474,2
367838,253474,3
844262,253474,3
4778,253474,1
470981,253474,1
277975,253474,1
108,110413,2
108,110413,3
606,110413,1
198,110413,1
204,110413,1
94435,6751668,2
94435,6751668,3
8243301,6751668,3
814280,6751668,1
1310525,6751668,1
1856097,6751668,1
21249,110357,2
591450,110357,2
575293,110357,3
731271,110357,3
941314,110357,3
111,110357,1
460,110357,1
469,110357,1
631,172495,2
291905,172495,3
517589,172495,3
629933,172495,3
128,172495,1
1618,172495,1
1567,172495,1
443411,120586,2
571346,120586,3
1570,120586,1
411,120586,1
350,120586,1
1741,114814,2
3160,114814,3
228,114814,1
321,114814,1
1590,114814,1
217,407887,2
1184258,407887,3
538320,407887,3
159039,407887,3
138,407887,1
354,407887,1
197,407887,1
634240,482571,2
634300,482571,3
634240,482571,3
1793993,482571,3
288,482571,1
413168,482571,1
424060,482571,1
2031,34583,2
258493,34583,3
258525,34583,3
462321,34583,3
7,34583,1
6,34583,1
2134,34583,1
2676052,1745960,2
143596,1745960,3
258390,1745960,3
185976,1745960,3
129,1745960,1
124,1745960,1
1886602,1745960,1
3227090,2582802,2
3227090,2582802,3
1886602,2582802,1
799777,2582802,1
2552034,2582802,1
619923,1675434,2
865918,1675434,2
619923,1675434,3
4778840,1675434,3
865918,1675434,3
167388,1675434,1
1082477,1675434,1
494504,1675434,1
122,27977,2
122,27977,3
122,27977,1
2104,27977,1
74788,27977,1
462030,56058,2
847668,56058,3
368074,56058,3
619938,56058,1
410968,56058,1
412615,56058,1
1466,64116,2
6872,64116,3
1466,64116,3
783,64116,3
20,64116,1
314,64116,1
1012,64116,1
847223,95327,2
636435,95327,3
847223,95327,3
851302,95327,1
794186,95327,1
945312,95327,1
33,47396,2
371088,47396,3
941280,47396,3
71,47396,1
38,47396,1
179819,47396,1
631,78748,2
639321,78748,3
795953,78748,3
244,78748,1
643,78748,1
457,78748,1
122,21749,2
122,21749,3
139714,21749,3
188357,21749,3
122,21749,1
156039,21749,1
5681967,21749,1
868153,95765,2
868153,95765,3
660031,95765,3
634159,95765,1
134073,95765,1
41066,95765,1
634240,209144,2
634240,209144,3
634300,209144,3
1602,209144,1
5251,209144,1
1592,209144,1
338,78788,2
587518,78788,3
338,78788,3
380282,78788,3
640,78788,1
8,78788,1
380,78788,1
229,82971,2
1410,82971,3
184,82971,3
442241,82971,3
148,82971,1
261,82971,1
293550,82971,1
233,1853728,2
233,1853728,3
4937,1853728,1
910607,1853728,1
138,1853728,1
4056,910970,2
4056,910970,3
230032,910970,3
714114,910970,3
123785,910970,1
2264184,910970,1
307531,910970,1
3697,405094,2
3697,405094,3
618057,405094,1
311476,405094,1
462407,405094,1
697,43014,2
102818,43014,3
