197,Jack Nicholson
634240,Christopher Nolan
634300,Jonathan Nolan
634240,Christopher Nolan
1793993,Christopher Priest
288,Christian Bale
413168,Hugh Jackman
424060,Scarlett Johansson
2031,Michael Curtiz
258493,Julius J. Epstein
258525,Philip G. Epstein
462321,Howard Koch
7,Humphrey Bogart
6,Ingrid Bergman
2134,Paul Henreid
2676052,Joseph Kosinski
143596,Jim Cash
258390,Jack Epps Jr.
185976,Peter Craig
129,Tom Cruise
124,Jennifer Connelly
1886602,Miles Teller
3227090,Damien Chazelle
3227090,Damien Chazelle
1886602,Miles Teller
799777,J.K. Simmons
2552034,Melissa Benoist
619923,Olivier Nakache
865918,Éric Toledano
619923,Olivier Nakache
4778840,Philippe Pozzo di Borgo
865918,Éric Toledano
167388,François Cluzet
1082477,Omar Sy
494504,Anne Le Ny
122,Charles Chaplin
122,Charles Chaplin
122,Charles Chaplin
2104,Paulette Goddard
74788,Henry Bergman
462030,Masaki Kobayashi
847668,Yasuhiko Takiguchi
368074,Shinobu Hashimoto
619938,Tatsuya Nakadai
410968,Akira Ishihama
412615,Shima Iwashita
1466,Sergio Leone
6872,Sergio Donati
1466,Sergio Leone
783,Dario Argento
20,Henry Fonda
314,Charles Bronson
1012,Claudia Cardinale
847223,Isao Takahata
636435,Akiyuki Nosaka
847223,Isao Takahata
851302,Tsutomu Tatsumi
794186,Ayano Shiraishi
945312,Akemi Yamaguchi
33,Alfred Hitchcock
371088,John Michael Hayes
941280,Cornell Woolrich
71,James Stewart
38,Grace Kelly
179819,Wendell Corey
631,Ridley Scott
639321,Dan O'Bannon
795953,Ronald Shusett
244,Sigourney Weaver
643,Tom Skerritt
457,John Hurt
122,Charles Chaplin
122,Charles Chaplin
139714,Harry Carr
188357,Harry Crocker
122,Charles Chaplin
156039,Virginia Cherrill
5681967,Florence Lee
868153,Giuseppe Tornatore
868153,Giuseppe Tornatore
660031,Vanna Paoli
634159,Philippe Noiret
134073,Enzo Cannavale
41066,Antonella Attili
634240,Christopher Nolan
634240,Christopher Nolan
634300,Jonathan Nolan
1602,Guy Pearce
5251,Carrie-Anne Moss
1592,Joe Pantoliano
338,Francis Ford Coppola
587518,John Milius
338,Francis Ford Coppola
380282,Michael Herr
640,Martin Sheen
8,Marlon Brando
380,Robert Duvall
229,Steven Spielberg
1410,Lawrence Kasdan
184,George Lucas
442241,Philip Kaufman
148,Harrison Ford
261,Karen Allen
