2802850,Fargo,8.9,2014,53,1,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
92337,Dekalog,9.0,1989,572,2,"Ten television drama films, each one based on one of the Ten Commandments."
213338,Cowboy Bebop,8.9,1998,24,1,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
108778,Friends,8.9,1994,22,1,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
7137906,When They See Us,8.9,2019,296,2,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
1865718,Gravity Falls,8.9,2012,23,1,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
3530232,Last Week Tonight with John Oliver,8.9,2014,30,1,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.
2297757,Nathan for You,8.9,2013,30,1,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often dr... Read all"
2571774,Africa,9.0,2013,360,2,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles an... Read all"
63929,Monty Python's Flying Circus,8.8,1969,30,1,The original surreal sketch comedy showcase for the Monty Python troupe.
4742876,TVF Pitchers,9.1,2015,40,2,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.
1508238,Apocalypse: The Second World War,9.0,2009,312,2,Apocalypse: The Second World War(2009) is a six-part French documentary about the Second World War. The documentary is composed exclusively of actual footage of the war as filmed by war corr... Read all
472954,It's Always Sunny in Philadelphia,8.8,2005,22,1,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
3032476,Better Call Saul,8.8,2015,46,1,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
81834,Das Boot,8.9,1985,293,2,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.
4934214,Taskmaster,9.0,2015,60,1,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
264235,Curb Your Enthusiasm,8.8,2000,28,1,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
112130,Pride and Prejudice,8.8,1995,327,2,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy."
72500,Fawlty Towers,8.8,1975,30,1,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away."
193676,Freaks and Geeks,8.8,1999,44,1,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
200276,The West Wing,8.9,1999,44,1,Inside the lives of staffers in the West Wing of the White House.
1831164,Leyla and Mecnun,9.1,2011,80,1,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
96548,Blackadder Goes Forth,8.8,1989,175,1,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war."
98936,Twin Peaks,8.8,1990,47,1,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
2085059,Black Mirror,8.8,2011,60,1,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
2707408,Narcos,8.8,2015,49,1,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
